MovieID,Title,Genres,ImdbID,Links,title,year,description,duration,director,writer,stars,ratings
11,"American President, The (1995)",Comedy|Drama|Romance,112346,https://www.imdb.com/title/tt0112346/,The American President,1995,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",1h 54m,['Rob Reiner'],['Aaron Sorkin'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen']",6.8
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,https://www.imdb.com/title/tt0112896/,Dracula: Dead and Loving It,1995,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.,1h 28m,['Mel Brooks'],"['Mel Brooks', 'Rudy De Luca', 'Steve Haberman']","['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol']",5.8
13,Balto (1995),Adventure|Animation|Children,112453,https://www.imdb.com/title/tt0112453/,Balto,1995,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",1h 18m,['Simon Wells'],"['Cliff Ruby', 'Elana Lesser', 'David Steven Cohen']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']",7.1
14,Nixon (1995),Drama,113987,https://www.imdb.com/title/tt0113987/,Nixon,1995,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",3h 12m,['Oliver Stone'],"['Stephen J. Rivele', 'Christopher Wilkinson', 'Oliver Stone']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",7.1
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,https://www.imdb.com/title/tt0112760/,Cutthroat Island,1995,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,2h 4m,['Renny Harlin'],"['Michael Frost Beckner', 'James Gorman', 'Bruce A. Evans']","['Geena Davis', 'Matthew Modine', 'Frank Langella']",5.7
16,Casino (1995),Crime|Drama,112641,https://www.imdb.com/title/tt0112641/,Casino,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",2h 58m,['Martin Scorsese'],"['Nicholas Pileggi', 'Martin Scorsese']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",8.2
17,Sense and Sensibility (1995),Drama|Romance,114388,https://www.imdb.com/title/tt0114388/,Sense and Sensibility,1995,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",2h 16m,['Ang Lee'],"['Jane Austen', 'Emma Thompson']","['Emma Thompson', 'Kate Winslet', 'James Fleet']",7.7
18,Four Rooms (1995),Comedy,113101,https://www.imdb.com/title/tt0113101/,Four Rooms,1995,Four interlocking tales that take place in a fading hotel on New Year's Eve.,1h 38m,"['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez']","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez']","['Tim Roth', 'Antonio Banderas', 'Sammi Davis']",6.7
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,https://www.imdb.com/title/tt0112281/,Ace Ventura: When Nature Calls,1995,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",1h 30m,['Steve Oedekerk'],"['Jack Bernstein', 'Steve Oedekerk']","['Jim Carrey', 'Ian McNeice', 'Simon Callow']",6.4
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,https://www.imdb.com/title/tt0113845/,Money Train,1995,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",1h 50m,['Joseph Ruben'],"['Doug Richardson', 'David Loughery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",5.7
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,https://www.imdb.com/title/tt0113161/,Get Shorty,1995,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",1h 45m,['Barry Sonnenfeld'],"['Elmore Leonard', 'Scott Frank']","['Gene Hackman', 'Rene Russo', 'Danny DeVito']",6.9
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,https://www.imdb.com/title/tt0112722/,Copycat,1995,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,2h 3m,['Jon Amiel'],"['Ann Biderman', 'David Madsen']","['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney']",6.6
23,Assassins (1995),Action|Crime|Thriller,112401,https://www.imdb.com/title/tt0112401/,Assassins,1995,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,2h 13m,['Richard Donner'],"['Lilly Wachowski', 'Lana Wachowski', 'Brian Helgeland']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",6.3
24,Powder (1995),Drama|Sci-Fi,114168,https://www.imdb.com/title/tt0114168/,Powder,1995,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,1h 51m,['Victor Salva'],['Victor Salva'],"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']",6.6
25,Leaving Las Vegas (1995),Drama|Romance,113627,https://www.imdb.com/title/tt0113627/,Leaving Las Vegas,1995,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1h 51m,['Mike Figgis'],"[""John O'Brien"", 'Mike Figgis']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",7.5
26,Othello (1995),Drama,114057,https://www.imdb.com/title/tt0114057/,Othello,1995,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",2h 3m,['Oliver Parker'],"['Oliver Parker', 'William Shakespeare']","['Laurence Fishburne', 'Kenneth Branagh', 'IrÃ¨ne Jacob']",6.9
27,Now and Then (1995),Children|Drama,114011,https://www.imdb.com/title/tt0114011/,Now and Then,1995,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,1h 40m,['Lesli Linka Glatter'],['I. Marlene King'],"['Christina Ricci', 'Demi Moore', ""Rosie O'Donnell""]",6.7
28,Persuasion (1995),Drama|Romance,114117,https://www.imdb.com/title/tt0114117/,Persuasion,1997,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealth... Read all",1h 47m,['Roger Michell'],"['Jane Austen', 'Nick Dear']","['Amanda Root', 'CiarÃ¡n Hinds', 'Susan Fleetwood']",7.6
29,"City of Lost Children, The (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,https://www.imdb.com/title/tt0112682/,The City of Lost Children,1995,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1h 52m,"['Marc Caro', 'Jean-Pierre Jeunet']","['Gilles Adrien', 'Jean-Pierre Jeunet', 'Marc Caro']","['Ron Perlman', 'Daniel Emilfork', 'Judith Vittet']",7.5
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,https://www.imdb.com/title/tt0115012/,Shanghai Triad,1995,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1h 48m,['Yimou Zhang'],"['Feiyu Bi', 'Li Xiao']","['Gong Li', 'Baotian Li', 'Xiaoxiao Wang']",7.1
31,Dangerous Minds (1995),Drama,112792,https://www.imdb.com/title/tt0112792/,Dangerous Minds,1995,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,1h 39m,['John N. Smith'],"['LouAnne Johnson', 'Ronald Bass']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']",6.5
32,Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller,114746,https://www.imdb.com/title/tt0114746/,12 Monkeys,1995,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",2h 9m,['Terry Gilliam'],"['Chris Marker', 'David Webb Peoples', 'Janet Peoples']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",8.0
34,Babe (1995),Children|Drama,112431,https://www.imdb.com/title/tt0112431/,Babe,1995,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.",1h 31m,['Chris Noonan'],"['Dick King-Smith', 'George Miller', 'Chris Noonan']","['James Cromwell', 'Magda Szubanski', 'Christine Cavanaugh']",6.9
35,Carrington (1995),Drama|Romance,112637,https://www.imdb.com/title/tt0112637/,Carrington,1995,The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.,2h 1m,['Christopher Hampton'],"['Christopher Hampton', 'Michael Holroyd']","['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']",6.8
36,Dead Man Walking (1995),Crime|Drama,112818,https://www.imdb.com/title/tt0112818/,Dead Man Walking,1995,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",2h 2m,['Tim Robbins'],"['Helen Prejean', 'Tim Robbins']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",7.5
37,Across the Sea of Time (1995),Documentary|IMAX,112286,https://www.imdb.com/title/tt0112286/,Across the Sea of Time,1995,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new p... Read all",51m,['Stephen Low'],['Andrew Gellis'],"['Peter Reznick', 'John McDonough', 'Avi Hoffman']",6.4
38,It Takes Two (1995),Children|Comedy,113442,https://www.imdb.com/title/tt0113442/,It Takes Two,1995,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",1h 41m,['Andy Tennant'],['Deborah Dean Davis'],"['Kirstie Alley', 'Steve Guttenberg', 'Mary-Kate Olsen']",5.8
39,Clueless (1995),Comedy|Romance,112697,https://www.imdb.com/title/tt0112697/,Clueless,1995,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",1h 37m,['Amy Heckerling'],['Amy Heckerling'],"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",6.9
40,"Cry, the Beloved Country (1995)",Drama,112749,https://www.imdb.com/title/tt0112749/,"Cry, the Beloved Country",1995,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",1h 46m,['Darrell Roodt'],"['Ronald Harwood', 'Alan Paton']","['Richard Harris', 'James Earl Jones', 'Vusi Kunene']",6.8
41,Richard III (1995),Drama|War,114279,https://www.imdb.com/title/tt0114279/,Richard III,1995,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,1h 50m,['Richard Loncraine'],"['Ian McKellen', 'Richard Loncraine', 'Richard Eyre']","['Ian McKellen', 'Annette Bening', 'Christopher Bowen']",7.3
42,Dead Presidents (1995),Action|Crime|Drama,112819,https://www.imdb.com/title/tt0112819/,Dead Presidents,1995,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",1h 59m,"['Albert Hughes', 'Allen Hughes']","['Allen Hughes', 'Albert Hughes', 'Michael Henry Brown']","['Larenz Tate', 'Keith David', 'Chris Tucker']",6.9
43,Restoration (1995),Drama,114272,https://www.imdb.com/title/tt0114272/,Restoration,1995,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",1h 57m,['Michael Hoffman'],"['Rose Tremain', 'Rupert Walters']","['Robert Downey Jr.', 'Sam Neill', 'David Thewlis']",6.6
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,https://www.imdb.com/title/tt0113855/,Mortal Kombat,1995,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,1h 41m,['Paul W.S. Anderson'],"['Ed Boon', 'John Tobias', 'Kevin Droney']","['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",5.8
45,To Die For (1995),Comedy|Drama|Thriller,114681,https://www.imdb.com/title/tt0114681/,To Die For,1995,A beautiful but naÃ¯ve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,1h 46m,['Gus Van Sant'],"['Joyce Maynard', 'Buck Henry']","['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",6.8
46,How to Make an American Quilt (1995),Drama|Romance,113347,https://www.imdb.com/title/tt0113347/,How to Make an American Quilt,1995,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,1h 57m,['Jocelyn Moorhouse'],"['Whitney Otto', 'Jane Anderson']","['Winona Ryder', 'Ellen Burstyn', 'Anne Bancroft']",6.3
47,Seven (Se7en) (1995),Mystery|Thriller,114369,https://www.imdb.com/title/tt0114369/,Se7en,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",2h 7m,['David Fincher'],['Andrew Kevin Walker'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']",8.6
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,https://www.imdb.com/title/tt0114148/,Pocahontas,1995,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,1h 21m,"['Mike Gabriel', 'Eric Goldberg']","['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']","['Mel Gibson', 'Linda Hunt', 'Christian Bale']",6.7
49,When Night Is Falling (1995),Drama|Romance,114916,https://www.imdb.com/title/tt0114916/,When Night Is Falling,1995,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",1h 34m,['Patricia Rozema'],['Patricia Rozema'],"['Pascale BussiÃ¨res', 'Rachael Crawford', 'Henry Czerny']",6.5
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,https://www.imdb.com/title/tt0114814/,The Usual Suspects,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",1h 46m,['Bryan Singer'],['Christopher McQuarrie'],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']",8.5
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,https://www.imdb.com/title/tt0113819/,Mighty Aphrodite,1995,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",1h 35m,['Woody Allen'],['Woody Allen'],"['Woody Allen', 'Mira Sorvino', 'Pamela Blair']",7.0
53,Lamerica (1994),Adventure|Drama,110299,https://www.imdb.com/title/tt0110299/,Lamerica,1994,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye.",1h 56m,['Gianni Amelio'],"['Gianni Amelio', 'Andrea Porporati', 'Alessandro Sermoneta']","['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']",7.4
54,"Big Green, The (1995)",Children|Comedy,112499,https://www.imdb.com/title/tt0112499/,The Big Green,1995,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",1h 40m,['Holly Goldberg Sloan'],['Holly Goldberg Sloan'],"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",5.5
55,Georgia (1995),Drama,113158,https://www.imdb.com/title/tt0113158/,Georgia,1995,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,1h 55m,['Ulu Grosbard'],['Barbara Turner'],"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']",6.5
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,113541,https://www.imdb.com/title/tt0113541/,Kids of the Round Table,1995,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun and fantasy soon become a marvelous, mystical reality with the touch of a sword. Malcolm McDowell, Michael Ironside and bright newcomer Johnn... Read all",1h 29m,['Robert Tinnell'],"['David Sherman', 'Robert Tinnell']","['Johnny Morina', 'Maggie Castle', 'Christopher Olscamp']",5.0
57,Home for the Holidays (1995),Drama,113321,https://www.imdb.com/title/tt0113321/,Home for the Holidays,1995,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",1h 43m,['Jodie Foster'],"['Chris Radant', 'W.D. Richter']","['Holly Hunter', 'Anne Bancroft', 'Robert Downey Jr.']",6.5
58,"Postino, Il (The Postman) (1994)",Comedy|Drama|Romance,110877,https://www.imdb.com/title/tt0110877/,The Postman,1994,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",1h 48m,"['Michael Radford', 'Massimo Troisi']","['Antonio SkÃ¡rmeta', 'Furio Scarpelli', 'Giacomo Scarpelli']","['Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta']",7.7
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,112714,https://www.imdb.com/title/tt0112714/,The Confessional,1995,"The year is 1952, in QuÃ©bec City, QuÃ©bec. Rachel (Suzanne ClÃ©ment), sixteen, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young Priest under the confidentiality of the confessional. In the present year of 1994, Pierre Lamontagne (Lothaire Bluteau) has returned to QuÃ©bec to attend his father's funeral. He meets up with h... Read all",1h 40m,['Robert Lepage'],['Robert Lepage'],"['Lothaire Bluteau', 'Patrick Goyette', 'Jean-Louis Millette']",7.4
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,https://www.imdb.com/title/tt0113419/,The Indian in the Cupboard,1995,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.",1h 36m,['Frank Oz'],"['Lynne Reid Banks', 'Melissa Mathison']","['Hal Scardino', 'Litefoot', 'Lindsay Crouse']",6.0
61,Eye for an Eye (1996),Drama|Thriller,116260,https://www.imdb.com/title/tt0116260/,Eye for an Eye,1996,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",1h 41m,['John Schlesinger'],"['Erika Holzer', 'Amanda Silver', 'Rick Jaffa']","['Sally Field', 'Kiefer Sutherland', 'Ed Harris']",6.1
62,Mr. Holland's Opus (1995),Drama,113862,https://www.imdb.com/title/tt0113862/,Mr. Holland's Opus,1995,A frustrated composer finds fulfillment as a high school music teacher.,2h 23m,['Stephen Herek'],['Patrick Sheane Duncan'],"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']",7.3
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,https://www.imdb.com/title/tt0116126/,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,"A parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",1h 29m,['Paris Barclay'],"['Shawn Wayans', 'Marlon Wayans', 'Phil Beauman']","['Shawn Wayans', 'Marlon Wayans', 'Keenen Ivory Wayans']",6.5
64,Two if by Sea (1996),Comedy|Romance,118002,https://www.imdb.com/title/tt0118002/,Two If by Sea,1996,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.,1h 36m,['Bill Bennett'],"['Denis Leary', 'Mike Armstrong', 'Ann Lembeck']","['Sandra Bullock', 'Denis Leary', 'Stephen Dillane']",5.2
65,Bio-Dome (1996),Comedy,115683,https://www.imdb.com/title/tt0115683/,Bio-Dome,1996,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",1h 28m,['Jason Bloom'],"['Adam Leff', 'Mitchell Peck', 'Jason Blumenthal']","['Pauly Shore', 'Stephen Baldwin', 'William Atherton']",4.3
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,https://www.imdb.com/title/tt0116839/,Lawnmower Man 2: Beyond Cyberspace,1996,"After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is reconstructed and he is hooked back online through virtual reality to work for Walker. Several years later, in a dystopian Los Angeles, Peter ... Read all",1h 33m,['Farhad Mann'],"['Farhad Mann', 'Michael Miner']","['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]",2.5
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,https://www.imdb.com/title/tt0113149/,French Twist,1995,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",1h 44m,['Josiane Balasko'],"['Patrick AubrÃ©e', 'Josiane Balasko', 'Telsche Boorman']","['Victoria Abril', 'Josiane Balasko', 'Alain Chabat']",6.4
69,Friday (1995),Comedy,113118,https://www.imdb.com/title/tt0113118/,Friday,1995,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",1h 31m,['F. Gary Gray'],"['Ice Cube', 'DJ Pooh']","['Ice Cube', 'Chris Tucker', 'Nia Long']",7.2
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,https://www.imdb.com/title/tt0116367/,From Dusk Till Dawn,1996,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",1h 48m,['Robert Rodriguez'],"['Robert Kurtzman', 'Quentin Tarantino']","['Harvey Keitel', 'George Clooney', 'Juliette Lewis']",7.2
71,Fair Game (1995),Action,113010,https://www.imdb.com/title/tt0113010/,Fair Game,1995,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",1h 31m,['Andrew Sipes'],"['Paula Gosling', 'Charlie Fletcher']","['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']",4.3
72,Kicking and Screaming (1995),Comedy|Drama,113537,https://www.imdb.com/title/tt0113537/,Kicking and Screaming,1995,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",1h 36m,['Noah Baumbach'],"['Noah Baumbach', 'Bo Berkman']","['Josh Hamilton', 'Eric Stoltz', 'Samuel Gould']",6.7
73,"MisÃ©rables, Les (1995)",Drama|War,113828,https://www.imdb.com/title/tt0113828/,Les MisÃ©rables,1995,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,2h 55m,['Claude Lelouch'],"['Victor Hugo', 'Claude Lelouch']","['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']",7.5
74,Bed of Roses (1996),Drama|Romance,115644,https://www.imdb.com/title/tt0115644/,Bed of Roses,1996,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",1h 27m,['Michael Goldenberg'],['Michael Goldenberg'],"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']",6.0
75,Big Bully (1996),Comedy|Drama,115676,https://www.imdb.com/title/tt0115676/,Big Bully,1996,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1h 30m,['Steve Miner'],['Mark Steven Johnson'],"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']",4.7
